,Unnamed: 0,categorie,charges_annuelles,copropriete_en_difficulte,date_de_construction,etage,mode_chauffage,nature_chauffage,nb_etages,nb_lots,postal_code,price,surface,Unnamed: 0,mode_chauffage,nb_chambres,nb_piece
37,37,Ancien,600 €,non,1920.0,1,Individuel,Gaz,3.0,7.0,paris-75013,"
                                                                            277 000 €
                                                                    ",21 m²,37,Individuel,,1.0
38,38,Ancien,1440 €,non,1900.0,4,Individuel,Electrique,5.0,15.0,paris-75020,"
                                                                            288 000 €
                                                                    ",29.42 m²,38,Individuel,1.0,2.0
39,39,Ancien,1944 €,non,1930.0,3,Collectif,Urbain,8.0,80.0,paris-75015,"
                                                                            294 000 €
                                                                    ",32 m²,39,Collectif,,1.0
40,40,Ancien,1500 €,non,1900.0,1,Individuel,Electrique,5.0,30.0,paris-75020,"
                                                                            299 000 €
                                                                    ",47 m²,40,Individuel,2.0,3.0
41,41,Ancien,1176 €,non,1898.0,2,Individuel,Electrique,2.0,84.0,paris-75013,"
                                                                            310 000 €
                                                                    ",33.77 m²,41,Individuel,,2.0
42,42,Récent,3000 €,non,1972.0,4,Collectif,,32.0,239.0,paris-75019,"
                                                                            310 000 €
                                                                    ",43 m²,42,Collectif,1.0,2.0
43,43,Ancien,,oui,1900.0,6,,,6.0,,paris-75017,"
                                                                            314 000 €
                                                                    ",28 m²,43,,1.0,2.0
44,44,Ancien,2196 €,non,1970.0,2,Collectif,,10.0,800.0,paris-75015,"
                                                                            314 000 €
                                                                    ",35 m²,44,Collectif,1.0,2.0
45,45,Moins de 10 ans,1296 €,non,1880.0,4,Individuel,Electrique,4.0,70.0,paris-75012,"
                                                                            319 000 €
                                                                    ",37 m²,45,Individuel,,1.0
46,46,Récent,1200 €,non,,2,Collectif,,10.0,100.0,paris-75019,"
                                                                            320 000 €
                                                                    ",26 m²,46,Collectif,1.0,1.0
47,47,Récent,2112 €,non,1974.0,3,,,7.0,69.0,paris-75010,"
                                                                            324 000 €
                                                                    ",30 m²,47,,,1.0
48,48,Ancien,1200 €,non,1880.0,4,Individuel,Electrique,6.0,32.0,paris-75010,"
                                                                            325 000 €
                                                                    ",33 m²,48,Individuel,1.0,2.0
49,49,Ancien,2016 €,non,1960.0,11,Collectif,Urbain,13.0,150.0,paris-75012,"
                                                                            325 000 €
                                                                    ",33 m²,49,Collectif,1.0,1.0
50,50,Ancien,1200 €,non,1880.0,RDC,Individuel,Electrique,5.0,20.0,paris-75019,"
                                                                            330 000 €
                                                                    ",39.2 m²,50,Individuel,1.0,2.0
51,51,Récent,3240 €,non,1972.0,18,Collectif,,30.0,239.0,paris-75019,"
                                                                            330 000 €
                                                                    ",43 m²,51,Collectif,2.0,3.0
52,52,Récent,1320 €,non,1970.0,4,Collectif,Gaz,6.0,48.0,paris-75011,"
                                                                            330 000 €
                                                                    ",31.35 m²,52,Collectif,,1.0
53,53,,,,,,,,,,paris-75016,,,53,,,
54,54,Ancien,1200 €,non,1930.0,2,Individuel,Gaz,6.0,30.0,paris-75019,"
                                                                            340 000 €
                                                                    ",47.86 m²,54,Individuel,2.0,3.0
55,55,,,,,,,,,,paris-75014,,,55,,,
56,56,Ancien,900 €,non,1880.0,3,Individuel,Electrique,5.0,25.0,paris-75011,"
                                                                            349 000 €
                                                                    ",33.23 m²,56,Individuel,1.0,2.0
57,57,Ancien,1440 €,oui,,2,Individuel,Electrique,5.0,12.0,paris-75019,"
                                                                            370 000 €
                                                                    ",47 m²,57,Individuel,1.0,2.0
58,58,,936 €,non,1900.0,4,Individuel,Electrique,4.0,19.0,paris-75006,"
                                                                            370 000 €
                                                                    ",30 m²,58,Individuel,1.0,2.0
59,59,Sur plan,1896 €,non,,RDC,Collectif,Gaz,,40.0,paris-75015,"
                                                                            375 000 €
                                                                    ",38 m²,59,Collectif,1.0,2.0
60,60,Ancien,1884 €,non,1960.0,5,Collectif,Gaz,10.0,50.0,paris-75015,"
                                                                            370 000 €
                                                                    ",36 m²,60,Collectif,1.0,2.0
61,61,Récent,6384 €,non,1970.0,28,Collectif,Urbain,28.0,193.0,paris-75013,"
                                                                            381 000 €
                                                                    ",66 m²,61,Collectif,2.0,3.0
62,62,Ancien,600 €,non,1904.0,RDC,Individuel,Gaz,2.0,9.0,paris-75013,"
                                                                            385 000 €
                                                                    ",48.3 m²,62,Individuel,1.0,2.0
63,63,Ancien,2328 €,non,1934.0,3,Collectif,Gaz,8.0,35.0,paris-75016,"
                                                                            375 000 €
                                                                    ",37 m²,63,Collectif,,1.0
64,64,Ancien,1596 €,non,1830.0,4,Individuel,Electrique,4.0,52.0,paris-75018,"
                                                                            385 400 €
                                                                    ",47 m²,64,,,
65,65,Récent,2352 €,non,1977.0,4,Collectif,,10.0,925.0,paris-75013,"
                                                                            390 000 €
                                                                    ",47.57 m²,65,Collectif,1.0,2.0
66,66,Récent,2148 €,non,1958.0,7,Collectif,Gaz,9.0,35.0,paris-75015,"
                                                                            399 000 €
                                                                    ",38 m²,66,Collectif,1.0,2.0
67,67,Ancien,1500 €,non,1876.0,2,Individuel,Gaz,5.0,30.0,paris-75019,"
                                                                            399 000 €
                                                                    ",48 m²,67,Individuel,1.0,2.0
68,68,Neuf,1200 €,non,2015.0,4,Individuel,,9.0,160.0,paris-75019,"
                                                                            399 000 €
                                                                    ",40 m²,68,Individuel,1.0,2.0
69,69,Ancien,2304 €,non,1894.0,1,Individuel,Gaz,4.0,28.0,paris-75018,"
                                                                            399 000 €
                                                                    ",57.76 m²,69,Individuel,2.0,3.0
70,70,Récent,4440 €,non,1970.0,2,Collectif,,7.0,2.0,paris-75016,"
                                                                            418 000 €
                                                                    ",36 m²,70,Collectif,,1.0
71,71,Récent,1680 €,non,1970.0,2,,,6.0,100.0,paris-75011,"
                                                                            420 000 €
                                                                    ",46 m²,71,,1.0,2.0
72,72,Ancien,2280 €,non,1975.0,3,Collectif,Gaz,10.0,200.0,paris-75012,"
                                                                            420 000 €
                                                                    ",50 m²,72,Collectif,1.0,2.0
73,73,,2400 €,non,1994.0,6,Collectif,Gaz,6.0,200.0,paris-75012,"
                                                                            420 000 €
                                                                    ",38 m²,73,Collectif,1.0,2.0
74,74,Récent,2760 €,non,1969.0,10,Collectif,Urbain,21.0,190.0,paris-75013,"
                                                                            424 000 €
                                                                    ",49 m²,74,,,
75,75,Ancien,708 €,non,1910.0,RDC,Individuel,Electrique,6.0,35.0,paris-75017,"
                                                                            430 000 €
                                                                    ",35 m²,75,Individuel,1.0,1.0
76,76,Récent,2400 €,non,1965.0,3,Collectif,Urbain,9.0,66.0,paris-75013,"
                                                                            439 000 €
                                                                    ",52 m²,76,Collectif,1.0,2.0
77,77,Ancien,1860 €,non,1930.0,4,Collectif,Urbain,6.0,20.0,paris-75015,"
                                                                            444 000 €
                                                                    ",34.13 m²,77,Collectif,,1.0
78,78,Récent,1200 €,non,1960.0,5,Collectif,Gaz,5.0,50.0,paris-75020,"
                                                                            465 000 €
                                                                    ",57 m²,78,Collectif,2.0,3.0
79,79,Ancien,2400 €,non,1800.0,3,Collectif,,4.0,17.0,paris-75005,"
                                                                            467 000 €
                                                                    ",38.35 m²,79,Collectif,2.0,3.0
80,80,Ancien,3624 €,non,1974.0,11,Collectif,,13.0,117.0,paris-75019,"
                                                                            470 000 €
                                                                    ",60 m²,80,Collectif,2.0,3.0
81,81,Ancien,4800 €,non,1961.0,8,Collectif,,12.0,600.0,paris-75015,"
                                                                            480 000 €
                                                                    ",73 m²,81,Collectif,3.0,4.0
82,82,Ancien,1476 €,non,,2,Individuel,Electrique,6.0,15.0,paris-75006,"
                                                                            495 000 €
                                                                    ",35 m²,82,Individuel,1.0,2.0
83,83,Ancien,4380 €,non,1820.0,RDC,Individuel,Electrique,5.0,30.0,paris-75011,"
                                                                            498 000 €
                                                                    ",68.5 m²,83,Individuel,1.0,2.0
84,84,Récent,2640 €,non,1993.0,2,Individuel,Electrique,5.0,10.0,paris-75015,"
                                                                            500 000 €
                                                                    ",50 m²,84,Individuel,1.0,2.0
85,85,Moins de 10 ans,2604 €,non,1955.0,1,Collectif,Gaz,9.0,19.0,paris-75015,"
                                                                            513 000 €
                                                                    ",56.2 m²,85,Collectif,2.0,3.0
86,86,,1404 €,non,1870.0,2,Individuel,Electrique,6.0,,paris-75005,"
                                                                            515 000 €
                                                                    ",43 m²,86,Individuel,1.0,2.0
87,87,Ancien,2208 €,non,1914.0,5,Individuel,Gaz,5.0,140.0,paris-75009,"
                                                                            519 000 €
                                                                    ",64 m²,87,Individuel,1.0,2.0
88,88,Récent,5460 €,non,1973.0,26,Collectif,,31.0,300.0,paris-75013,"
                                                                            520 000 €
                                                                    ",72 m²,88,Collectif,2.0,3.0
89,89,Ancien,1836 €,non,1910.0,2,Individuel,Gaz,6.0,16.0,paris-75007,"
                                                                            528 500 €
                                                                    ",46 m²,89,Individuel,1.0,2.0
90,90,Récent,5976 €,non,1970.0,7,Collectif,,30.0,248.0,paris-75013,"
                                                                            532 500 €
                                                                    ",84 m²,90,Collectif,3.0,4.0
91,91,Ancien,4608 €,non,1974.0,11,Collectif,Urbain,13.0,224.0,paris-75019,"
                                                                            535 000 €
                                                                    ",80.11 m²,91,Collectif,2.0,4.0
92,92,Récent,5400 €,non,1973.0,17,Collectif,Urbain,30.0,300.0,paris-75013,"
                                                                            535 000 €
                                                                    ",80 m²,92,Collectif,2.0,4.0
93,93,,6204 €,non,1970.0,26,Collectif,Urbain,30.0,300.0,paris-75013,"
                                                                            560 000 €
                                                                    ",100 m²,93,Collectif,2.0,5.0
94,94,Neuf,1200 €,non,1947.0,RDC,Individuel,Electrique,3.0,9.0,paris-75019,"
                                                                            572 248 €
                                                                    ",59.75 m²,94,Individuel,2.0,3.0
95,95,Neuf,600 €,non,1947.0,1,Individuel,Electrique,3.0,9.0,paris-75019,"
                                                                            574 262 €
                                                                    ",55.29 m²,95,Individuel,,2.0
96,96,Récent,2364 €,non,1975.0,3,Collectif,Urbain,9.0,200.0,paris-75006,"
                                                                            599 000 €
                                                                    ",47 m²,96,Collectif,1.0,2.0
97,97,Ancien,1884 €,non,1900.0,6,Individuel,Gaz,6.0,30.0,paris-75012,"
                                                                            599 000 €
                                                                    ",57 m²,97,Individuel,1.0,2.0
98,98,Ancien,1404 €,non,1880.0,1,Individuel,Gaz,6.0,25.0,paris-75010,"
                                                                            599 000 €
                                                                    ",54 m²,98,Individuel,2.0,3.0
99,99,Neuf,1200 €,non,1947.0,RDC,Individuel,Electrique,3.0,9.0,paris-75019,"
                                                                            610 667 €
                                                                    ",63.6 m²,99,Individuel,2.0,3.0
100,100,Ancien,3276 €,non,1956.0,RDC,Collectif,Gaz,6.0,13.0,paris-75016,"
                                                                            612 000 €
                                                                    ",60 m²,100,Collectif,1.0,2.0
101,101,Ancien,1680 €,non,1800.0,6,Collectif,Gaz,7.0,50.0,paris-75009,"
                                                                            619 000 €
                                                                    ",57 m²,101,Collectif,2.0,3.0
102,102,Récent,6984 €,non,1970.0,31,Collectif,,18.0,300.0,paris-75013,"
                                                                            630 000 €
                                                                    ",103.39 m²,102,Collectif,3.0,5.0
103,103,Ancien,2928 €,non,1934.0,6,Collectif,Gaz,8.0,30.0,paris-75016,"
                                                                            630 000 €
                                                                    ",53 m²,103,Collectif,2.0,3.0
104,104,Neuf,1200 €,non,1947.0,1,Individuel,Electrique,3.0,9.0,paris-75019,"
                                                                            635 900 €
                                                                    ",61.02 m²,104,Individuel,2.0,3.0
105,105,,,,,,,,,,paris-75020,,,105,,,
106,106,Récent,2160 €,non,1952.0,6,Collectif,,6.0,16.0,paris-75016,"
                                                                            645 000 €
                                                                    ",60 m²,106,Collectif,1.0,2.0
107,107,Moins de 10 ans,3120 €,non,1958.0,9,,,10.0,200.0,paris-75012,"
                                                                            650 000 €
                                                                    ",71 m²,107,,2.0,3.0
108,108,Ancien,2436 €,non,1992.0,4,Individuel,Electrique,9.0,60.0,paris-75019,"
                                                                            650 000 €
                                                                    ",90.94 m²,108,Individuel,3.0,4.0
109,109,Sur plan,3804 €,non,1974.0,7,Collectif,Urbain,10.0,650.0,paris-75015,"
                                                                            650 000 €
                                                                    ",68 m²,109,Collectif,2.0,3.0
110,110,Ancien,2400 €,non,1970.0,2,Collectif,Autre,7.0,,paris-75011,"
                                                                            657 000 €
                                                                    ",68 m²,110,Collectif,2.0,3.0
111,111,Ancien,3264 €,non,1958.0,2,Collectif,Gaz,7.0,80.0,paris-75012,"
                                                                            670 000 €
                                                                    ",75.6 m²,111,Collectif,3.0,4.0
112,112,Récent,2424 €,non,2006.0,1,Individuel,Electrique,1.0,16.0,paris-75012,"
                                                                            675 000 €
                                                                    ",81 m²,112,Individuel,2.0,3.0
113,113,Récent,2400 €,non,1970.0,2,Collectif,Autre,10.0,200.0,paris-75011,"
                                                                            678 000 €
                                                                    ",69 m²,113,Collectif,2.0,3.0
114,114,Récent,4800 €,non,1960.0,2,Collectif,Gaz,7.0,100.0,paris-75020,"
                                                                            680 000 €
                                                                    ",90 m²,114,Collectif,4.0,4.0
115,115,Récent,1848 €,non,2003.0,2,,,6.0,22.0,paris-75012,"
                                                                            690 000 €
                                                                    ",66.04 m²,115,,2.0,3.0
116,116,Ancien,3300 €,non,1960.0,3,Collectif,Gaz,8.0,43.0,paris-75015,"
                                                                            695 000 €
                                                                    ",76 m²,116,Collectif,3.0,4.0
117,117,Récent,4260 €,non,1981.0,1,Collectif,Urbain,5.0,52.0,paris-75015,"
                                                                            706 500 €
                                                                    ",76.43 m²,117,Collectif,2.0,3.0
118,118,Récent,4020 €,non,1970.0,4,Collectif,Urbain,6.0,91.0,paris-75020,"
                                                                            714 000 €
                                                                    ",83 m²,118,Collectif,3.0,4.0
119,119,Ancien,4416 €,non,1980.0,4,Collectif,Urbain,5.0,45.0,paris-75013,"
                                                                            715 000 €
                                                                    ",83.71 m²,119,Collectif,2.0,4.0
120,120,Récent,4200 €,non,1955.0,RDC,Collectif,Urbain,9.0,175.0,paris-75013,"
                                                                            715 000 €
                                                                    ",85 m²,120,Collectif,3.0,4.0
121,121,Ancien,2280 €,non,1920.0,RDC,Collectif,Gaz,7.0,60.0,paris-75017,"
                                                                            770 000 €
                                                                    ",77 m²,121,Collectif,2.0,3.0
122,122,Ancien,2052 €,non,1880.0,3,Individuel,Electrique,7.0,50.0,paris-75005,"
                                                                            785 000 €
                                                                    ",69 m²,122,Individuel,3.0,4.0
123,123,Moins de 10 ans,3648 €,non,1971.0,2,Collectif,Urbain,9.0,177.0,paris-75013,"
                                                                            810 000 €
                                                                    ",84 m²,123,Collectif,2.0,4.0
124,124,Ancien,3000 €,non,1910.0,1,Individuel,Gaz,6.0,13.0,paris-75007,"
                                                                            820 000 €
                                                                    ",64 m²,124,Individuel,2.0,3.0
125,125,Sur plan,4500 €,non,1900.0,2,Individuel,Gaz,7.0,25.0,paris-75007,"
                                                                            840 000 €
                                                                    ",62 m²,125,Individuel,2.0,3.0
126,126,Ancien,3480 €,non,1956.0,4,Collectif,Gaz,6.0,23.0,paris-75010,"
                                                                            860 000 €
                                                                    ",85 m²,126,Collectif,1.0,3.0
127,127,Ancien,4404 €,non,1970.0,8,Collectif,Urbain,10.0,690.0,paris-75015,"
                                                                            861 000 €
                                                                    ",100 m²,127,Collectif,3.0,5.0
128,128,Ancien,2700 €,non,1924.0,4,Collectif,Urbain,6.0,40.0,paris-75015,"
                                                                            870 000 €
                                                                    ",91 m²,128,Collectif,2.0,4.0
129,129,Neuf,1200 €,non,1947.0,2,Individuel,Electrique,3.0,9.0,paris-75019,"
                                                                            876 000 €
                                                                    ",76.87 m²,129,Individuel,2.0,4.0
130,130,Ancien,2712 €,non,1920.0,3,Individuel,Gaz,6.0,50.0,paris-75009,"
                                                                            1 047 000 €
                                                                    ",88.19 m²,130,Individuel,2.0,4.0
131,131,Ancien,5796 €,non,1930.0,RDC,Collectif,,8.0,100.0,paris-75016,"
                                                                            1 120 000 €
                                                                    ",122.54 m²,131,Collectif,2.0,4.0
132,132,Ancien,3324 €,non,1875.0,4,Individuel,Electrique,6.0,21.0,paris-75010,"
                                                                            1 123 000 €
                                                                    ",114.94 m²,132,Individuel,3.0,5.0
133,133,Ancien,4800 €,non,1933.0,1,Collectif,,9.0,36.0,paris-75016,"
                                                                            1 173 000 €
                                                                    ",129 m²,133,Collectif,3.0,5.0
134,134,Ancien,4200 €,non,2003.0,2,Individuel,Electrique,7.0,13.0,paris-75013,"
                                                                            1 270 000 €
                                                                    ",121.12 m²,134,,,
